step	episode_duration
37	38.0
38	38.0
39	38.0
40	38.0
41	38.0
42	38.0
43	38.0
44	38.0
45	38.0
46	38.0
47	38.0
48	38.0
49	38.0
50	38.0
51	38.0
52	38.0
53	38.0
54	38.0
55	38.0
56	38.0
57	38.0
58	38.0
59	38.0
60	38.0
61	38.0
62	38.0
63	38.0
64	38.0
65	38.0
66	38.0
67	38.0
68	38.0
69	38.0
70	38.0
71	38.0
72	36.5
73	36.5
74	36.5
75	36.5
76	36.5
77	36.5
78	36.5
79	36.5
80	36.5
81	36.5
82	36.5
83	36.5
84	36.5
85	36.5
86	36.5
87	36.5
88	36.5
89	36.5
90	36.5
91	36.5
92	36.5
93	36.5
94	36.5
95	36.5
96	36.5
97	36.5
98	36.5
99	33.333333333333336
