matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
1,1,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,56,3,loss,variable_2_4/repetition_1
1,1,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,60,4,win,fixed_2p/repetition_1
1,2,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,49,3,loss,variable_2_4/repetition_1
1,2,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,55,2,win,fixed_2p/repetition_1
1,3,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,57,5,win,variable_2_4/repetition_1
1,3,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,50,3,loss,fixed_2p/repetition_1
1,4,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,54,2,loss,fixed_2p/repetition_1
1,4,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,66,3,win,variable_2_4/repetition_1
1,5,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,57,0,win,fixed_2p/repetition_1
1,5,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,39,5,loss,variable_2_4/repetition_1
1,6,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,67,2,win,variable_2_4/repetition_1
1,6,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,59,4,loss,fixed_2p/repetition_1
1,7,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,56,3,loss,variable_2_4/repetition_1
1,7,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,61,4,win,fixed_2p/repetition_1
1,8,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,59,3,loss,fixed_2p/repetition_1
1,8,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,62,4,win,variable_2_4/repetition_1
1,9,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,60,2,win,variable_2_4/repetition_1
1,9,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,51,5,loss,fixed_2p/repetition_1
1,10,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,63,4,loss,fixed_2p/repetition_1
1,10,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,71,2,win,variable_2_4/repetition_1
1,11,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,44,1,loss,fixed_2p/repetition_1
1,11,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,55,5,win,variable_2_4/repetition_1
1,12,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,63,3,win,variable_2_4/repetition_1
1,12,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,48,2,loss,fixed_2p/repetition_1
1,13,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,66,1,win,variable_2_4/repetition_1
1,13,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,51,4,loss,fixed_2p/repetition_1
1,14,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,42,5,loss,variable_2_4/repetition_1
1,14,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,48,1,win,fixed_2p/repetition_1
1,15,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,41,2,loss,variable_2_4/repetition_1
1,15,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,65,3,win,fixed_2p/repetition_1
1,16,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,58,2,win,variable_2_4/repetition_1
1,16,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,43,4,loss,fixed_2p/repetition_1
1,17,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,47,5,loss,variable_2_4/repetition_1
1,17,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,54,1,win,fixed_2p/repetition_1
1,18,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,49,2,loss,variable_2_4/repetition_1
1,18,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,58,0,win,fixed_2p/repetition_1
1,19,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,50,3,win,variable_2_4/repetition_1
1,19,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,44,2,loss,fixed_2p/repetition_1
1,20,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,63,1,win,variable_2_4/repetition_1
1,20,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,55,3,loss,fixed_2p/repetition_1
1,21,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,62,3,win,fixed_2p/repetition_1
1,21,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,51,3,loss,variable_2_4/repetition_1
1,22,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,57,3,loss,variable_2_4/repetition_1
1,22,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,64,4,win,fixed_2p/repetition_1
1,23,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,54,4,win,fixed_2p/repetition_1
1,23,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,54,1,loss,variable_2_4/repetition_1
1,24,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,55,1,loss,fixed_2p/repetition_1
1,24,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,55,4,win,variable_2_4/repetition_1
1,25,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,42,2,loss,fixed_2p/repetition_1
1,25,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,57,3,win,variable_2_4/repetition_1
1,26,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,46,3,loss,variable_2_4/repetition_1
1,26,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,55,5,win,fixed_2p/repetition_1
1,27,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,50,3,loss,variable_2_4/repetition_1
1,27,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,56,4,win,fixed_2p/repetition_1
1,28,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,55,3,loss,variable_2_4/repetition_1
1,28,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,60,4,win,fixed_2p/repetition_1
1,29,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,63,0,win,variable_2_4/repetition_1
1,29,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,53,5,loss,fixed_2p/repetition_1
1,30,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,56,1,loss,variable_2_4/repetition_1
1,30,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,56,5,win,fixed_2p/repetition_1
1,31,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,50,2,loss,fixed_2p/repetition_1
1,31,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,70,4,win,variable_2_4/repetition_1
1,32,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,60,3,loss,variable_2_4/repetition_1
1,32,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,61,3,win,fixed_2p/repetition_1
1,33,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,50,4,win,fixed_2p/repetition_1
1,33,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,49,3,loss,variable_2_4/repetition_1
1,34,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,51,4,loss,fixed_2p/repetition_1
1,34,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,55,2,win,variable_2_4/repetition_1
1,35,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,58,3,win,fixed_2p/repetition_1
1,35,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,55,2,loss,variable_2_4/repetition_1
1,36,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,39,3,loss,variable_2_4/repetition_1
1,36,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,57,4,win,fixed_2p/repetition_1
1,37,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,58,2,win,fixed_2p/repetition_1
1,37,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,53,5,loss,variable_2_4/repetition_1
1,38,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,51,4,loss,fixed_2p/repetition_1
1,38,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,67,1,win,variable_2_4/repetition_1
1,39,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,55,4,win,variable_2_4/repetition_1
1,39,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,54,2,loss,fixed_2p/repetition_1
1,40,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,58,1,win,variable_2_4/repetition_1
1,40,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,45,4,loss,fixed_2p/repetition_1
1,41,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,45,3,loss,fixed_2p/repetition_1
1,41,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,1,48,4,win,variable_2_4/repetition_1
1,42,fixed_2p/repetition_1,211a23690c7249b59eee5027400e397e,fixed_2p,1,0,52,3,win,variable_2_4/repetition_1
1,42,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,48,3,loss,fixed_2p/repetition_1
1,43,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,61,3,win,fixed_2p/repetition_1
