matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
1,1,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,49,3,loss,fixed_3p/repetition_1|variable_2_4/repetition_1
1,1,fixed_3p/repetition_1,9676bfdf2eca4bc8a68d12ed945761cb,fixed_3p,1,1,51,4,win,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,1,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,48,2,loss,variable_encoder_2_4/repetition_1|fixed_3p/repetition_1
1,2,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,47,3,win,variable_2_4/repetition_1|fixed_3p/repetition_1
1,2,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,40,2,loss,variable_encoder_2_4/repetition_1|fixed_3p/repetition_1
1,2,fixed_3p/repetition_1,9676bfdf2eca4bc8a68d12ed945761cb,fixed_3p,1,2,47,2,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,3,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,44,5,loss,fixed_3p/repetition_1|variable_2_4/repetition_1
1,3,fixed_3p/repetition_1,9676bfdf2eca4bc8a68d12ed945761cb,fixed_3p,1,1,40,3,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,3,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,51,1,win,variable_encoder_2_4/repetition_1|fixed_3p/repetition_1
1,4,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,48,3,win,variable_encoder_2_4/repetition_1|fixed_3p/repetition_1
1,4,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,40,2,loss,variable_2_4/repetition_1|fixed_3p/repetition_1
1,4,fixed_3p/repetition_1,9676bfdf2eca4bc8a68d12ed945761cb,fixed_3p,1,2,39,2,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,5,fixed_3p/repetition_1,9676bfdf2eca4bc8a68d12ed945761cb,fixed_3p,1,0,43,3,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,5,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,46,3,win,fixed_3p/repetition_1|variable_2_4/repetition_1
