matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
1,1,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,35,3,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,1,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,41,4,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,1,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,43,2,win,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,1,random/repetition_1,random,random,1,3,17,1,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,2,random/repetition_1,random,random,1,0,9,2,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,2,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,41,4,win,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,2,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,30,2,loss,random/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,2,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,39,2,loss,random/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,3,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,40,5,loss,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,3,random/repetition_1,random,random,1,1,21,1,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,3,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,34,1,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,3,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,41,3,win,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,4,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,41,5,loss,variable_encoder_2_4/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,4,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,41,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,4,random/repetition_1,random,random,1,2,24,1,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,4,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,51,0,win,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
1,5,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,33,1,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,5,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,51,4,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,5,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,32,3,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
1,5,random/repetition_1,random,random,1,3,20,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,6,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,28,3,loss,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,6,random/repetition_1,random,random,1,1,25,1,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,6,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,33,1,loss,variable_encoder_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,6,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,42,4,win,variable_encoder_2_4/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,7,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,37,3,win,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,7,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,36,1,loss,variable_encoder_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,7,random/repetition_1,random,random,1,2,19,0,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,7,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,34,5,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,8,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,45,3,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,8,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,55,4,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,8,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,41,0,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
1,8,random/repetition_1,random,random,1,3,24,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,9,random/repetition_1,random,random,1,0,22,3,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,9,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,36,1,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,9,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,48,2,win,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,9,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,32,3,loss,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,10,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,46,1,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,10,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,53,3,win,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,10,random/repetition_1,random,random,1,2,23,2,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,10,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,48,2,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,11,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,45,2,loss,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,11,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,35,3,loss,variable_encoder_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,11,random/repetition_1,random,random,1,2,17,1,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,11,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,50,2,win,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,12,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,51,4,win,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,12,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,39,0,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,12,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,42,2,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,12,random/repetition_1,random,random,1,3,24,1,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,13,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,42,4,loss,variable_encoder_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,13,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,36,3,loss,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,13,random/repetition_1,random,random,1,2,21,0,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,13,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,50,2,win,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
1,14,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,38,1,loss,random/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,14,random/repetition_1,random,random,1,1,14,1,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,14,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,48,3,win,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,14,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,29,3,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,15,random/repetition_1,random,random,1,0,16,1,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,15,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,49,3,win,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,15,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,42,2,loss,random/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,15,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,37,2,loss,random/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,16,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,37,2,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,16,random/repetition_1,random,random,1,1,18,1,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,16,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,40,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,16,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,41,4,win,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,17,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,25,3,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,17,random/repetition_1,random,random,1,1,16,0,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,17,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,46,4,win,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,17,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,44,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_2_4/repetition_1
1,18,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,33,2,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
